,Search_Location,Search_Keywords,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating,Current_Time,Unnamed: 10
467,"New York, NY",social impact,Executive Assistant,https://www.indeed.com/company/Guttmacher-Institute/jobs/Executive-Assistant-631d509251943b52?fccid=d589911d7d71dec9&vjs=3,Guttmacher Institute,"ocation: **New York City / Hybrid Work Schedule* *Posted: **August 2022* *Status: **Full-time, Regular, Non-Exempt* *Reports To: **Supervising Executiv","Hybrid remote in New York, NY","Posted
Posted 30+ days ago",3.8,09/10/2022,
468,"New York, NY",social impact,US - Director of Asylum & Immigration Legal Services,https://www.indeed.com/rc/clk?jk=8a6c14af83209b3a&fccid=a196f66cbff15d70&vjs=3,Church World Service,"sition Title: Director of Asylum & Immigration Legal Services Reports To: Senior Director, Migrant & Emergency Services Division: Programs Department: U","New York, NY 10017 
(Turtle Bay area)","Posted
Posted 30+ days ago",4.3,09/10/2022,
469,"New York, NY",social impact,"Solutions Manager, Content Platforms",https://www.indeed.com/rc/clk?jk=de0d5f06428839d1&fccid=7ca1385998532a85&vjs=3,Conde Nast,ndé Nast is a global media company producing the highest quality content with a footprint of more than 1 billion consumers in 32 territories through print,"New York, NY","Posted
Posted 30+ days ago",4,09/10/2022,
470,"New York, NY",social impact,"Communication Assistant, PELE",https://www.indeed.com/rc/clk?jk=7221c94be261e15e&fccid=8077183a161ef0fd&vjs=3,New York University,"w York University: NYU - NY: Steinhardt School of Culture, Education and Human Development: Office of Research: Institute of Human Development and Socia","New York, NY 10012 
(Greenwich Village area)","Posted
Posted 30+ days ago",4.2,09/10/2022,
471,"New York, NY",social impact,Senior Writer,https://www.indeed.com/rc/clk?jk=c421aa26b58d8c4d&fccid=f97367b3ac9546b1&vjs=3,NYC Careers,"e New York City Housing Authority (NYCHA) is the nation’s largest public housing authority, with an operating budget of $3.3 billion and over 11,00","Manhattan, NY","Posted
Posted 17 days ago",2.5,09/10/2022,
472,"New York, NY",social impact,Junior Copywriter,https://www.indeed.com/rc/clk?jk=e9234a1caea3421f&fccid=9228d043d3c647f0&vjs=3,160over90,"b Description 160over90 is owned by Endeavor, one of the biggest names in culture and entertainment in the world. The creative department here is like tha","New York, NY 10010 
(Flatiron area)","Posted
Posted 30+ days ago",2.2,09/10/2022,
473,"New York, NY",social impact,Senior Policy Analyst,https://www.indeed.com/rc/clk?jk=a5333360f865313a&fccid=a5147c03ec5618f8&vjs=3,The AES Corporation," AES, we raise the quality of life around the world by changing the way energy works. Everyone makes an impact every day in our small, global teams. Appl","Remote in New York, NY 10022","Posted
Posted 30+ days ago",4.1,09/10/2022,
474,"New York, NY",social impact,Head of Social Influencers,https://www.indeed.com/rc/clk?jk=1b325f366fc775a1&fccid=fdf755343f0d328b&vjs=3,Tory Burch," are an American luxury brand known for beautiful, timeless pieces and rich storytelling that evokes optimism and joy. Tory is a fashion designer who draw","New York, NY","Posted
Posted 30+ days ago",3.4,09/10/2022,
475,"New York, NY",social impact,"Director, Monitoring, Evaluation and Learning (Hybrid Schedu...",https://www.indeed.com/rc/clk?jk=aefd949e48c35022&fccid=bd976cc171c690e0&vjs=3,Columbia University,quisition no: 529923 Work type: Full Time Location: Manhattanville School/Department: Columbia World Projects Grade: Grade 15 Categories: Genera,"Manhattanville, NY","Posted
Posted 10 days ago",4.1,09/10/2022,
476,"New York, NY",social impact,SOCIAL WORKER,https://www.indeed.com/rc/clk?jk=257e951a0f73fdf2&fccid=b66e81a7f084a85c&vjs=3,Asian Americans for Equality,erview WHO WE ARE: Asian Americans for Equality (AAFE) is a 501 (c) (3) non-profit organization based in New York City. Founded in 1974 in Manhattan’,"New York, NY","Posted
Posted 24 days ago",2.3,09/10/2022,
477,"New York, NY",social impact,SECURITY COORDINATION OFFICER,https://www.indeed.com/rc/clk?jk=afdf1d48e55d5d30&fccid=65ae769cb89830ec&vjs=3,United Nations,"e Department of Safety and Security (UNDSS) is responsible for providing leadership, operational support and oversight of the United Nations securit","New York, NY","Posted
Posted 30+ days ago",4.4,09/10/2022,
478,"New York, NY",social impact,Senior Member Navigator (52 Duane Street),https://www.indeed.com/rc/clk?jk=5e2b96ed6a20fbb9&fccid=059d889e14e3a9b4&vjs=3,EmblemHealth,"mmary of Position • Perform outreach to identified members with the target of closing highly complex, brand impacting, escalations including executiv","New York, NY","Posted
Posted 7 days ago",3.5,09/10/2022,
479,"New York, NY",social impact,wavespace - Process Facilitator - Badaboom,https://www.indeed.com/rc/clk?jk=443fb82b448a5276&fccid=1544766d4c2915b0&vjs=3,EY," EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the bes","New York, NY 10001 
(Chelsea area)","Posted
Posted 30+ days ago",4,09/10/2022,
480,"New York, NY",social impact,"Raíz Community Organizer-New York, All Locations",https://www.indeed.com/rc/clk?jk=43b4131d4de0c00b&fccid=dda6e6eeb880f521&vjs=3,Planned Parenthood of Greater New York," Requires one (1) to three (3) years of related and/or applicable organizing experience in a political or social issue and a proven ability to motivate, train,","New York, NY","Posted
Posted 30+ days ago",3.6,09/10/2022,
481,"New York, NY",social impact,Planner,https://www.indeed.com/rc/clk?jk=9a2f9ee86e09c11e&fccid=420012bdb1c4985f&vjs=3,Sam Schwartz," Prepare planning analyses, including those associated with environmental review (e.g., NEPA, SEQRA, CEQR), climate action, equity, and Environmental Justice","New York, NY 10001 
(Chelsea area)","Posted
Posted 1 day ago",3.6,09/10/2022,
482,"New York, NY",social impact,Counselor - Middle School and High School Student Groups,https://www.indeed.com/rc/clk?jk=4ff50e4524a5ef21&fccid=ed77a7fefd37f147&vjs=3,Bank Street College of Education," Create and implement social/emotional learning curriculum for small groups of students.
 Master’s degree in counseling, social work, education or related field","New York, NY 10025 
(Morningside Heights area)","Posted
Posted 11 days ago",4.3,09/10/2022,
483,"New York, NY",social impact,MoMA PS1 Fellow - Administration and Human Resources,https://www.indeed.com/rc/clk?jk=8660d9f15db33bc6&fccid=9f1b8981641a9406&vjs=3,"P.S.1 Contemporary Art Center, Inc.", The PS1 Fellow will support the organizing and completion of two (2) on-site museum-wide workshops that are an integral component of the museum’s annual,"Long Island City, NY 11101","Posted
Posted 30+ days ago",,09/10/2022,
484,"New York, NY",social impact,Market Risk Associate- Houston and New York Offices,https://www.indeed.com/rc/clk?jk=92e72737eeb94b83&fccid=c4fbc8d763b3f3b5&vjs=3,Macquarie Group Limited," On a daily basis, Market Risk is responsible for setting, monitoring, reporting and enforcing risk limits across all the trading areas of the Group as well as","New York, NY","Posted
Posted 30+ days ago",3.8,09/10/2022,
485,"New York, NY",social impact,Know Your Customer (KYC) Specialist,https://www.indeed.com/rc/clk?jk=efcd7ea05d992afa&fccid=5249cd8e17163cb5&vjs=3,Standard Chartered," In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing","New York, NY 10036 
(Garment District area)","Posted
Posted 30+ days ago",4.1,09/10/2022,
486,"New York, NY",social impact,US - Director of Asylum & Immigration Legal Services,https://www.indeed.com/rc/clk?jk=8a6c14af83209b3a&fccid=a196f66cbff15d70&vjs=3,Church World Service," Unwavering commitment to social justice and the protection of migrants and asylum seekers.
 Examine existing program policies and procedures, outcomes targets","New York, NY 10017 
(Turtle Bay area)","Posted
Posted 30+ days ago",4.3,09/10/2022,
487,"New York, NY",social impact,Strategy Associate for Data and Innovation,https://www.indeed.com/rc/clk?jk=3e3a1149415c7b0b&fccid=f97367b3ac9546b1&vjs=3,NYC Careers," Analyzes data from various City and State data systems to inform impact of policy changes.
 In child welfare, ACS contracts with private nonprofit organizations","New York, NY 10038 
(Financial District area)","Posted
Posted 15 days ago",2.5,09/10/2022,
488,"New York, NY",social impact,wavespace - Process Facilitator - Badaboom,https://www.indeed.com/rc/clk?jk=443fb82b448a5276&fccid=1544766d4c2915b0&vjs=3,EY," The Wavespace process facilitator will help manage the end-to-end delivery of Wavespace sessions, with special attention to event support and logistics","New York, NY 10001 
(Chelsea area)","Posted
Posted 30+ days ago",4,09/10/2022,
489,"New York, NY",social impact,SOCIAL WORKER,https://www.indeed.com/rc/clk?jk=257e951a0f73fdf2&fccid=b66e81a7f084a85c&vjs=3,Asian Americans for Equality, From neighborhood offices in Chinatown and the Lower East Side (Manhattan) and Flushing and Jackson Heights (Queens) we provide an array of multilingual,"New York, NY","Posted
Posted 24 days ago",2.3,09/10/2022,
490,"New York, NY",social impact,Senior Member Navigator (52 Duane Street),https://www.indeed.com/rc/clk?jk=5e2b96ed6a20fbb9&fccid=059d889e14e3a9b4&vjs=3,EmblemHealth," Decisions that may impact customer experience.
 Executive escalations, social media, and large group client retention complaints","New York, NY","Posted
Posted 7 days ago",3.5,09/10/2022,
491,"New York, NY",social impact,"Associate, PortNYC",https://www.indeed.com/rc/clk?jk=1300e89ffa2a0800&fccid=f6f41fd92f49b90c&vjs=3,NYCEDC," The portfolio includes commercial real estate properties as well as transportation, port assets, critical infrastructure, and energy assets","New York, NY 10006 
(Financial District area)","Posted
Posted 30+ days ago",3.7,09/10/2022,
492,"New York, NY",social impact,Corp & Foundation Gvg Mgr,https://www.indeed.com/rc/clk?jk=c41bee55ae1f160d&fccid=67373ccc56c6e862&vjs=3,Food Bank for New York City," Create and share impact reports with internal and external stakeholders.*.
 *Commitment to social justice/hunger issues*","Remote in New York, NY 10006","Posted
Posted 30+ days ago",3.9,09/10/2022,
493,"New York, NY",social impact,EMC - Chief of Staff,https://www.indeed.com/rc/clk?jk=16f28b3139ca9fbc&fccid=fcbb0b16521f7505&vjs=3,Creative Artists Agency (CAA)," Creative Artists Agency (CAA) is the leading entertainment and sports agency, with global expertise in filmed and live entertainment, digital media, publishing,","New York, NY","Posted
Posted 30+ days ago",3.9,09/10/2022,
494,"New York, NY",social impact,"Associate Brand Manager, Malibu",https://www.indeed.com/rc/clk?jk=70188327e03ec698&fccid=5679ed35d317d638&vjs=3,Pernod Ricard," 3+ years of marketing experience; experience in strategy/brand development, including brand positioning and brand building activities (digital/social and retail","New York, NY 10177 
(Midtown area)","Posted
Posted 30+ days ago",3.8,09/10/2022,
495,"New York, NY",social impact,Assignment Editor,https://www.indeed.com/rc/clk?jk=b94db6fc601ef392&fccid=68c045433ddb0032&vjs=3,CBS Television Stations," Aggressively respond to breaking news by monitoring scanners, social media and other tools.
 Leverage social media to spot trends/problems that may indicate the","New York, NY 10019 
(Midtown area)","Posted
Posted 4 days ago",4,09/10/2022,
496,"New York, NY",social impact,Social Media Manager,https://www.indeed.com/rc/clk?jk=137f59cc05d3e2ab&fccid=5831e1f260dfbb85&vjs=3,Ripple," Create and drive the go-forward strategy for Ripple’s social media presence in existing and new social media platforms.
 Experience with reporting and analytics","New York, NY","Posted
Posted 25 days ago",3.3,09/10/2022,
497,"New York, NY",social impact,Dean Associate - AMS II,https://www.indeed.com/company/New-Visions-Charter-High-School-for-Advanced-Math-and-Science/jobs/Dean-Associate-41bf97759149684c?fccid=9d5562cd9a982090&vjs=3,New Visions Charter High Schools: Operations &...," Responds to concerns with social and cultural sensitivity.
 Associate's Degree, Bachelors in counseling, social work, or related field preferred","Bronx, NY","Posted
Posted 30+ days ago",,09/10/2022,
498,"New York, NY",social impact,SOX Manager,https://www.indeed.com/rc/clk?jk=4631565eb82066fc&fccid=dcee946d6190dc91&vjs=3,Content Square," Under the direction of the SOX Director, the SOX Manager is responsible for timely execution of SOX implementation activities.
 Pre-IPO experience a plus","Remote in New York, NY","Posted
Posted 30+ days ago",4.3,09/10/2022,
499,"New York, NY",social impact,"Cannabis Workforce Initiative Associate, Labor and Employmen...",https://www.indeed.com/rc/clk?jk=885d1be9efacdc8b&fccid=306f028923c9e104&vjs=3,Cornell University," They also will evaluate and monitor the quality, impact, and outcomes of education, training, technical assistance, consulting and research activities of the","New York, NY 11221 
(Bedford Stuyvesant area)","Posted
Posted 17 days ago",4.3,09/10/2022,
500,,,,,,,,,,,
501,"New York, NY",social impact,Recruiting Coordinator,https://www.indeed.com/rc/clk?jk=9f10a69ebffa6ba2&fccid=078ff4cc1b4ef5c3&vjs=3,"Services For The Underserved, Inc."," Familiarity with social media, especially LinkedIn.
 Source and evaluate candidates using databases and social media.
 Research, coordinate and attend job fairs","New York, NY 10018 
(Garment District area)","Posted
Posted 3 days ago",3.2,09/10/2022,
502,"New York, NY",social impact,Student Counselor,https://www.indeed.com/rc/clk?jk=d106329100c8e231&fccid=0cf1def8e5fee51c&vjs=3,Rutgers University," Requires a bachelor’s degree in student counseling, college student personnel, psychology, social work, education, higher education administration, or a related","Newark, NJ 07102 
(University Heights area)","Posted
Posted 29 days ago",3.8,09/10/2022,
503,"New York, NY",social impact,"SNAP-ED Nutritionist I - Canton, NY",https://www.indeed.com/rc/clk?jk=bd2244785147b02e&fccid=306f028923c9e104&vjs=3,Cornell University," Assist in providing existing information to bring awareness to the public in the form of impact statements, articles for progress/annual reports, and news","New York, NY","Posted
Posted 6 days ago",4.3,09/10/2022,
504,"New York, NY",social impact,"Analyst, Sustainability/ESG/DE+I",https://www.indeed.com/rc/clk?jk=42be2c6fe88b62cb&fccid=544aa904ee316d86&vjs=3,Hill+Knowlton Strategies," This position will offer the opportunity to support a variety of projects such as climate action planning, ESG reporting, sustainability and purpose strategy,","Remote in New York, NY","Posted
Posted 30+ days ago",4,09/10/2022,
505,"New York, NY",social impact,Community Health Worker (Assistant Research Scientist),https://www.indeed.com/rc/clk?jk=f444a4ab93f2c56d&fccid=8077183a161ef0fd&vjs=3,New York University," Provide linkage and navigation of families to ancillary services when indicated (i.e. social welfare, vocational services)","New York, NY 10012 
(Greenwich Village area)","Posted
Posted 30+ days ago",4.2,09/10/2022,
506,"New York, NY",social impact,Rattlestick Theater - Artistic Director,https://www.indeed.com/rc/clk?jk=4b5695ce99a63493&fccid=156ec98a3d37bb1a&vjs=3,ALJP Consulting, The next Artistic Director will inherit an organization on a forward trajectory as the theater field continues to operate during the COVID-19 pandemic and amid,"New York, NY 10014 
(West Village area)","Posted
Posted 8 days ago",,09/10/2022,
507,"New York, NY",social impact,Internal Communications Lead (Americas),https://www.indeed.com/rc/clk?jk=c471052581ca1196&fccid=c2a63affe8751868&vjs=3,CAPCO," Lead on regional intranet, employee social and other employee channels as appropriate.
 Work with the regional business functions e.g., HR, Operations, IT, to","New York, NY","Posted
Posted 30+ days ago",3.3,09/10/2022,
508,"New York, NY",social impact,Director of Communications & Marketing - 131 West 25th Stree...,https://www.indeed.com/rc/clk?jk=b5cddf078a0d7dd0&fccid=557ffe04699b7ae6&vjs=3,BRC," Strengthen and expand the organization's social media presence across platforms, including the use of advertising channels.
 Full-time, 37.5 hours per week","Manhattan, NY","Posted
Posted 30+ days ago",3.5,09/10/2022,
509,"New York, NY",social impact,Corrections and Amendments Case Navigator,https://www.indeed.com/rc/clk?jk=3222e967a7351507&fccid=f97367b3ac9546b1&vjs=3,NYC Careers," Create tickets and report any IT issues that impact productivity and day to day operations.
 Provide high quality customer support in adherence to agency","New York, NY 10013 
(Chinatown area)","Posted
Posted 16 days ago",2.5,09/10/2022,
510,"New York, NY",social impact,Head of Brand Communications,https://www.indeed.com/rc/clk?jk=1ae6850383dd53ab&fccid=974e89b3ff04bca6&vjs=3,Rivery, Own social media by working together with our social media agency to produce high-impact social media content and campaigns that build awareness and engage,"Hybrid remote in New York, NY 10006","Posted
Posted 30+ days ago",5,09/10/2022,
511,"New York, NY",social impact,Safety and Occupational Health Manager,https://www.indeed.com/rc/clk?jk=a462498603ea1c08&fccid=709ab022c573d625&vjs=3,US Defense Finance and Accounting Service," Reviews existing, new and proposed occupational health, safety and fire protection, laws, regulations, and policies to determine impact on the Center operating","Remote in New York, NY","Posted
Posted 9 days ago",,09/10/2022,
512,"New York, NY",social impact,Senior Writer and Strategist,https://www.indeed.com/rc/clk?jk=8289d801a3c0c63d&fccid=8077183a161ef0fd&vjs=3,New York University," Position Summary: The Senior Writer and Strategist will research, develop, and write content that aligns with the NYU brand and effectively impacts our target","Hybrid remote in New York, NY 10012","Posted
Posted 11 days ago",4.2,09/10/2022,
513,"New York, NY",social impact,Project Coordinator,https://www.indeed.com/rc/clk?jk=8be728bb37592db6&fccid=489885dfc7f6c8d6&vjs=3,Anti-Defamation League," Experience in project management fundamentals; understanding of the creative and production processes for digital, print, web and social is a plus","New York, NY 10158 
(Tudor City area)","Posted
Posted 30+ days ago",4.3,09/10/2022,
514,"New York, NY",social impact,"Rotational Analyst Program - NY , Hybrid",https://www.indeed.com/rc/clk?jk=90d4ff080e7ef414&fccid=3b98171e4a0fd997&vjs=3,MUFG," Excellent social, verbal, and written communication skills so you can effectively articulate your thoughts when working alongside multiple business partners","Hybrid remote in New York, NY 10020","Posted
Posted 30+ days ago",3.4,09/10/2022,
515,"New York, NY",social impact,Immigrant Student Success Program Coordinator,https://www.indeed.com/rc/clk?jk=544a365867b64c64&fccid=d6dbeb6f0303a871&vjs=3,The City University of New York (CUNY)," Manage social media channels, graphics, photography, and information on ISSO’s website.
 Maintain databases of activities and impact of the work done to support","Brooklyn, NY","Posted
Posted 9 days ago",3.9,09/10/2022,
516,"New York, NY",social impact,Live Shopping Strategy Specialist,https://www.indeed.com/rc/clk?jk=6655ab638d0e693f&fccid=6df24d87c9f05a07&vjs=3,Macy’s," Develop and iterate growth strategies for Live that will make meaningful impact to customers.
 Strong passion to pave the way and define social commerce in a","New York, NY 10001 
(Chelsea area)","Posted
Posted 30+ days ago",3.6,09/10/2022,
517,"New York, NY",social impact,"Senior Vice President, ESG, Philanthropy and Impact Investin...",https://www.indeed.com/rc/clk?jk=06488bbfa7fda89b&fccid=6f6e7c59f8d53a02&vjs=3,BerlinRosen," Strong news sense and knowledge of the media, particularly around business and financial issues, impact investing, philanthropy","Remote in New York, NY 10038","Posted
Posted 2 days ago",3.6,09/10/2022,
518,"New York, NY",social impact,"Environmental, Social, and Governance (ESG) Internal Audit (...",https://www.indeed.com/rc/clk?jk=b95696b4eaa26f9f&fccid=9e215d88a6b33622&vjs=3,Deloitte," Our SC&E team is seeking IA Senior Consultants who are interest in managing ESG-focused client engagements, including developing ESG internal audit programs and","New York, NY","Posted
Posted 30 days ago",3.9,09/10/2022,
519,"New York, NY",social impact,"Program Manager I - Diversity, Health Equity & Inclusion",https://www.indeed.com/rc/clk?jk=f052ca8eab6865fc&fccid=c007936ceb766fe5&vjs=3,Mount Sinai," Strong interest in health care, social justice, and health equity.
 Within the Department of Medicine (DOM) at the Icahn School of Medicine at Mount Sinai, the","New York, NY","Posted
Posted 22 days ago",3.8,09/10/2022,
520,"New York, NY",social impact,Men's Tailor Fitter,https://www.indeed.com/rc/clk?jk=a9f88ebe3471b1bf&fccid=7a11eee3ff8b533d&vjs=3,Neiman Marcus, There are 38 full-line Neiman Marcus stores in cosmopolitan markets across the United States and a sophisticated digital platform that attracts shoppers,"New York, NY 10001 
(Chelsea area)","Posted
Posted 21 days ago",3.6,09/10/2022,
521,"New York, NY",social impact,Senior Writer,https://www.indeed.com/rc/clk?jk=c421aa26b58d8c4d&fccid=f97367b3ac9546b1&vjs=3,NYC Careers, Conducting operational analysis to understand the interrelationships between functions and departments and to identify the impact of changes in one part of the,"Manhattan, NY","Posted
Posted 17 days ago",2.5,09/10/2022,
522,"New York, NY",social impact,Development Associate,https://www.indeed.com/rc/clk?jk=a5e4c0d3859265e1&fccid=e341da6819c309d9&vjs=3,Sugar Hill Children's Museum of Art & Storytelling," Reports to the Director of Development, is responsible for ongoing administrative and.
 Fundraising tasks and works with staff across the diverse organization","Hybrid remote in New York, NY 10032","Posted
Posted 30+ days ago",4.5,09/10/2022,
523,"New York, NY",social impact,Affiliate & Influencer Manager,https://www.indeed.com/rc/clk?jk=3c72f03149096cdd&fccid=3cfa221ea9595410&vjs=3,Maude Group," Measure and report on impact: Across our influencer and affiliate programs, own key data, metrics and budget using technical and data tracking to report on","New York, NY","Posted
Posted 20 days ago",,09/10/2022,
524,"New York, NY",social impact,Resilience/Climate Adaptation Planner,https://www.indeed.com/rc/clk?jk=720d0b8cab73a2c8&fccid=997110e6d9c4c093&vjs=3,Tetra Tech," Leverages decision-support tools to evaluate impacts (direct and cascading).
 The position requires strong technical and communication skills, knowledge of","New York, NY 10121 
(Garment District area)","Posted
Posted 30+ days ago",3.7,09/10/2022,
525,"New York, NY",social impact,"Associate, Narrative Strategy",https://www.indeed.com/rc/clk?jk=d6668ba4bf3b678c&fccid=7c43bf142222e360&vjs=3,A/B Partners," A strong understanding of progressive movement building, CSR, or social impact ventures strongly preferred.
 The Strategy team creates tailored experiences that","Remote in New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
526,"New York, NY",social impact,Deputy Director for Systems Change,https://www.indeed.com/rc/clk?jk=760e5379b1d09135&fccid=d575a4184ac2f669&vjs=3,SCO Family of Services," Must be self-motivated with a drive to impact children’s lives, strong project management and project scoping skills, and the ability to lead systems change","Remote in Brooklyn, NY 11212","Posted
Posted 30+ days ago",3.2,09/10/2022,
527,"New York, NY",social impact,"Manager, Innovation Communications",https://www.indeed.com/rc/clk?jk=06b67e73388b0ff9&fccid=10b5c722d846df43&vjs=3,Mastercard," Digital and social media experience and interest; led editorial and/or marketing campaigns, social and influencer campaigns, and technology showcases","New York, NY 10011 
(Flatiron area)","Posted
Posted 22 days ago",4,09/10/2022,
528,"New York, NY",social impact,Associate Researcher (Dai's Lab) - Pharmacological Sciences,https://www.indeed.com/rc/clk?jk=d13d6fe093e70d4e&fccid=c007936ceb766fe5&vjs=3,Mount Sinai, The research interests of the Dai lab (https://labs.icahn.mssm.edu/jinyedailab/) focus on the interplay between genetic and environmental stressors in the,"New York, NY","Posted
Posted 6 days ago",3.8,09/10/2022,
529,"New York, NY",social impact,"Project Coordinator I - Center for Stress, Resilience & Pers...",https://www.indeed.com/rc/clk?jk=a7af4796753c422a&fccid=c007936ceb766fe5&vjs=3,Mount Sinai, The project coordinator will complete service-oriented projects to bolster mental health awareness and engagement with internal psycho-social resources in,"New York, NY","Posted
Posted 9 days ago",3.8,09/10/2022,
530,"New York, NY",social impact,Brooklyn Bowl New York/Philly Marketing Coordinator,https://www.indeed.com/rc/clk?jk=a7a6b4cb31caa625&fccid=f2d0ffe36bb2f0f4&vjs=3,Live Nation," Create original content for social media to promote shows.
 Assist with responding to customers across all social media platforms","New York, NY","Posted
Posted 30+ days ago",4.1,09/10/2022,
531,"New York, NY",social impact,Client Programs Liaison,https://www.indeed.com/rc/clk?jk=3b7bdd907d1704a3&fccid=cda0e2972ae55684&vjs=3,ASPCA," The Client Programs Liaison is a client services professional position that will have excellent knowledge of the ASPCA’s many services, conflict resolution,","New York, NY 10128 
(Upper East Side area)","Posted
Posted 30+ days ago",3.9,09/10/2022,
532,"New York, NY",social impact,Retail Associate,https://www.indeed.com/rc/clk?jk=d3e4e4c3417cafc6&fccid=44883e6cf36baf2a&vjs=3,Snow Peak USA," Strengthen our brand presence by encouraging customers to engage with social networking sites and email list.
 Ensure that health, safety, and security rules are","New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
533,"New York, NY",social impact,Legal Officer - TrustLaw (NAC) - TR Foundation,https://www.indeed.com/rc/clk?jk=7c3f3b3aa972b7b3&fccid=f4c6ed63cbcfdc0d&vjs=3,Thomson Reuters, Design and manage multiple cross-border research programs that address the most critical social and policy needs facing our NGO and social enterprise members,"Hybrid remote in New York, NY 10036","Posted
Posted 3 days ago",3.9,09/10/2022,
534,"New York, NY",social impact,Senior Open Innovation Associate,https://www.indeed.com/rc/clk?jk=d2ed195fba303eaa&fccid=af4523e064301b11&vjs=3,Luminary Labs, Exceptional attention to detail; quick to catch inconsistencies in deliverables and strong ability to recall key insights and decisions that impact project,"New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
535,"New York, NY",social impact,Program Officer - TrustLaw (North America and Caribbean) - T...,https://www.indeed.com/rc/clk?jk=c7fd51dfacc03986&fccid=f4c6ed63cbcfdc0d&vjs=3,Thomson Reuters," Working in the NGO, social enterprise or social impact space in the region.
 Support, engage and devise strategies to expand a community of NGO and social","Hybrid remote in New York, NY 10036","Posted
Posted 25 days ago",3.9,09/10/2022,
536,"New York, NY",social impact,AI Residency Program (University Grad),https://www.indeed.com/rc/clk?jk=ab0825e53148e3b1&fccid=ba07516c418dda52&vjs=3,Meta," The research will be communicated to the academic community by submitting papers to top academic venues (for example, NeurIPS, ICML, ICLR, CVPR, ICCV, ACL,","New York, NY","Posted
Posted 10 days ago",4.1,09/10/2022,
537,"New York, NY",social impact,Network Support Technician,https://www.indeed.com/rc/clk?jk=2bede0d307cbc83b&fccid=4f8daa48ef966ab5&vjs=3,Paramount," In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and","New York, NY 10019 
(Midtown area)","Posted
Posted 14 days ago",3.5,09/10/2022,
538,"New York, NY",social impact,"Manager, Media Strategy & Business Development",https://www.indeed.com/rc/clk?jk=d3888026e9d4894f&fccid=85ac7fb3b19d15f1&vjs=3,National Football League," Expanded the NFL’s business relationships with digital and social media companies such as YouTube, TikTok, and Snap","New York, NY","Posted
Posted 24 days ago",4.4,09/10/2022,
539,"New York, NY",social impact,"Account Supervisor, Tech & Innovation Public Relations",https://www.indeed.com/rc/clk?jk=d812fbe4d1a6b5d4&fccid=6f6e7c59f8d53a02&vjs=3,BerlinRosen," BerlinRosen's burgeoning technology and innovation practice represents some of the biggest newsmakers defining the future of technology, finance, work,","New York, NY 10038 
(Financial District area)","Posted
Posted 5 days ago",3.6,09/10/2022,
540,"New York, NY",social impact,2023 Wealth Management Infrastructure,https://www.indeed.com/rc/clk?jk=110c898a6b78859b&fccid=6b4d8589813ead16&vjs=3,Brown Brothers Harriman," Ongoing training and guidance that enable you to make an impact.
 Solving complex issues in the financial industry requires a team of remarkable individuals who","New York, NY","Posted
Posted 6 days ago",3.6,09/10/2022,
541,"New York, NY",social impact,"Senior Vice President North America, Communications and S&R",https://www.indeed.com/rc/clk?jk=f3e1d1ade8434784&fccid=5679ed35d317d638&vjs=3,Pernod Ricard," Oversee content development and monitor conversations on PR NA corporate external social media channels.
 Oversee relationship building with Digital Influencers","New York, NY 10177 
(Midtown area)","Posted
Posted 30+ days ago",3.8,09/10/2022,
542,"New York, NY",social impact,"Senior User Researcher, B2B Team",https://www.indeed.com/rc/clk?jk=e4fc1c9976fb5d46&fccid=fe404d18bb9eef1e&vjs=3,Spotify," Build trusted relationships with insights partners to drive impact from your research, and Product partners to build a better Spotify ads experience","Remote in New York, NY","Posted
Posted 16 days ago",4.3,09/10/2022,
543,"New York, NY",social impact,2023 Investment Banking Full-Time Analyst Program,https://www.indeed.com/rc/clk?jk=2ca887d953dfedf2&fccid=4fff4280b3334971&vjs=3,Credit Suisse Campus," Take the next step in your banking career with the Credit Suisse Full-Time Analyst Program.
 You continue to learn and develop through ongoing training","New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
544,"New York, NY",social impact,"Senior Vice President, Social Strategy",https://www.indeed.com/rc/clk?jk=a8ca9c480c4ad8cc&fccid=cfe599b17b8a4fa0&vjs=3,Edelman, They are passionate advocates for the social space and audience behavior throughout the creative process and how action impacts the overall customer experience,"Hybrid remote in New York, NY 10013","Posted
Posted 30+ days ago",3.7,09/10/2022,
545,"New York, NY",social impact,Benefits Manager,https://www.indeed.com/rc/clk?jk=706fd81f82b68f51&fccid=4f3d226d347ea935&vjs=3,Avenues: The World School, As the Benefits Manager they will be responsible for serving as the primary contact for all colleagues and vendors around benefits related questions and,"New York, NY","Posted
Posted 18 days ago",3.7,09/10/2022,
